group,workload,order,launch,mode,version,started,budgetMs,case,parameter
paired-final,array-methods--10000,6,3,compiled,candidate,2026-09-04T22:41:03.2567533-07:00,300,,10000
paired-final,array-methods--10000,7,4,compiled,candidate,2026-09-04T22:41:04.0721021-07:00,300,,10000
paired-final,array-methods--10000,8,4,compiled,baseline,2026-09-04T22:41:04.8930051-07:00,300,,10000
paired-final,array-methods--10000,9,5,compiled,baseline,2026-09-04T22:41:05.7366625-07:00,300,,10000
paired-final,array-methods--10000,10,5,compiled,candidate,2026-09-04T22:41:06.5712982-07:00,300,,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,1,1,compiled,baseline,2026-09-04T22:41:15.7782651-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,2,1,compiled,candidate,2026-09-04T22:41:16.6630834-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,3,2,compiled,candidate,2026-09-04T22:41:17.4848263-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,4,2,compiled,baseline,2026-09-04T22:41:18.3128026-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,5,3,compiled,baseline,2026-09-04T22:41:19.1433523-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,6,3,compiled,candidate,2026-09-04T22:41:19.9498577-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,7,4,compiled,candidate,2026-09-04T22:41:20.7949779-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,8,4,compiled,baseline,2026-09-04T22:41:21.6356915-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,9,5,compiled,baseline,2026-09-04T22:41:22.4722306-07:00,300,stable-numeric-rest,10000
paired-final,language-hot-paths-stable-numeric-rest-10000,10,5,compiled,candidate,2026-09-04T22:41:23.3429870-07:00,300,stable-numeric-rest,10000
paired-final,objects--10000,1,1,compiled,baseline,2026-09-04T22:41:07.4167571-07:00,300,,10000
paired-final,objects--10000,2,1,compiled,candidate,2026-09-04T22:41:08.2328386-07:00,300,,10000
paired-final,objects--10000,3,2,compiled,candidate,2026-09-04T22:41:09.0651104-07:00,300,,10000
paired-final,objects--10000,4,2,compiled,baseline,2026-09-04T22:41:09.9092358-07:00,300,,10000
paired-final,objects--10000,5,3,compiled,baseline,2026-09-04T22:41:10.7299547-07:00,300,,10000
paired-final,objects--10000,6,3,compiled,candidate,2026-09-04T22:41:11.5638226-07:00,300,,10000
paired-final,objects--10000,7,4,compiled,candidate,2026-09-04T22:41:12.4340969-07:00,300,,10000
paired-final,objects--10000,8,4,compiled,baseline,2026-09-04T22:41:13.2672036-07:00,300,,10000
paired-final,objects--10000,9,5,compiled,baseline,2026-09-04T22:41:14.1099657-07:00,300,,10000
paired-final,objects--10000,10,5,compiled,candidate,2026-09-04T22:41:14.9324018-07:00,300,,10000
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,1,1,compiled,baseline,2026-09-04T22:40:23.1144819-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,2,1,compiled,candidate,2026-09-04T22:40:23.8778402-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,3,2,compiled,candidate,2026-09-04T22:40:24.6165115-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,4,2,compiled,baseline,2026-09-04T22:40:25.3707116-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,5,3,compiled,baseline,2026-09-04T22:40:26.1617087-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,6,3,compiled,candidate,2026-09-04T22:40:26.9185837-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,7,4,compiled,candidate,2026-09-04T22:40:27.6797618-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,8,4,compiled,baseline,2026-09-04T22:40:28.4183489-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,9,5,compiled,baseline,2026-09-04T22:40:29.1798995-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,10,5,compiled,candidate,2026-09-04T22:40:29.9309432-07:00,300,allocation-partitions-serial-1,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,1,1,compiled,baseline,2026-09-04T22:40:30.6748025-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,2,1,compiled,candidate,2026-09-04T22:40:31.4690357-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,3,2,compiled,candidate,2026-09-04T22:40:32.2007237-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,4,2,compiled,baseline,2026-09-04T22:40:32.9425342-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,5,3,compiled,baseline,2026-09-04T22:40:33.7294706-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,6,3,compiled,candidate,2026-09-04T22:40:34.5064305-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,7,4,compiled,candidate,2026-09-04T22:40:35.3593112-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,8,4,compiled,baseline,2026-09-04T22:40:36.2250882-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,9,5,compiled,baseline,2026-09-04T22:40:37.1627719-07:00,300,allocation-partitions-serial-1,8193
