platform,workload,mode,version,launch,name,param,meanMs,minMs,stdevMs,samples,inner,sampledMs
windows,worker-allocation-scaling,interpreter,baseline,1,worker-allocation-fixed-work,2,121.5,94.4919,28.2997828,9,1,1093.5
windows,worker-allocation-scaling,interpreter,baseline,1,worker-allocation-fixed-work,4,102.9613,63.3826,28.705155,10,1,1029.613
windows,worker-allocation-scaling,interpreter,baseline,2,worker-allocation-direct,20000,109.62341,54.5137,35.5709585,10,1,1096.2341
windows,worker-allocation-scaling,interpreter,baseline,2,worker-allocation-fixed-work,1,150.405175,111.0576,27.9869294,8,1,1203.2414
windows,worker-allocation-scaling,interpreter,baseline,2,worker-allocation-fixed-work,2,111.4982,63.6634,28.9928723,9,1,1003.4838
windows,worker-allocation-scaling,interpreter,baseline,2,worker-allocation-fixed-work,4,100.44546,63.6424,26.0586386,10,1,1004.4546
windows,worker-allocation-scaling,interpreter,baseline,3,worker-allocation-direct,20000,126.3587125,98.9743,24.8065039,8,1,1010.8697
windows,worker-allocation-scaling,interpreter,baseline,3,worker-allocation-fixed-work,1,157.6132375,111.5383,36.3205822,8,1,1260.9059
windows,worker-allocation-scaling,interpreter,baseline,3,worker-allocation-fixed-work,2,116.5558444,78.7118,28.8308247,9,1,1049.0026
windows,worker-allocation-scaling,interpreter,baseline,3,worker-allocation-fixed-work,4,114.7021444,78.8777,34.6402168,9,1,1032.3193
windows,worker-allocation-scaling,interpreter,baseline,4,worker-allocation-direct,20000,116.4727778,90.8967,27.91502,9,1,1048.255
windows,worker-allocation-scaling,interpreter,baseline,4,worker-allocation-fixed-work,1,134.4253625,79.5144,30.3970109,8,1,1075.4029
windows,worker-allocation-scaling,interpreter,baseline,4,worker-allocation-fixed-work,2,128.652825,79.1457,34.4371774,8,1,1029.2226
windows,worker-allocation-scaling,interpreter,baseline,4,worker-allocation-fixed-work,4,109.26825,63.2244,23.0541947,10,1,1092.6825
windows,worker-allocation-scaling,interpreter,baseline,5,worker-allocation-direct,20000,132.070175,104.3987,25.6311372,8,1,1056.5614
windows,worker-allocation-scaling,interpreter,baseline,5,worker-allocation-fixed-work,1,153.15175,106.6748,40.391158,8,1,1225.214
windows,worker-allocation-scaling,interpreter,baseline,5,worker-allocation-fixed-work,2,134.2993,94.4746,30.6300252,8,1,1074.3944
windows,worker-allocation-scaling,interpreter,baseline,5,worker-allocation-fixed-work,4,103.23619,63.21,26.3247945,10,1,1032.3619
windows,worker-allocation-scaling,interpreter,candidate,1,worker-allocation-direct,20000,138.66885,112.4835,16.5195036,8,1,1109.3508
windows,worker-allocation-scaling,interpreter,candidate,1,worker-allocation-fixed-work,1,147.3284125,110.0995,29.6224288,8,1,1178.6273
windows,worker-allocation-scaling,interpreter,candidate,1,worker-allocation-fixed-work,2,115.5246778,78.7265,32.7882313,9,1,1039.7221
windows,worker-allocation-scaling,interpreter,candidate,1,worker-allocation-fixed-work,4,174.626475,63.242,100.4955636,8,1,1397.0118
windows,worker-allocation-scaling,interpreter,candidate,2,worker-allocation-direct,20000,148.9089875,112.9612,30.1429212,8,1,1191.2719
windows,worker-allocation-scaling,interpreter,candidate,2,worker-allocation-fixed-work,1,151.7182375,110.9613,34.5521187,8,1,1213.7459
windows,worker-allocation-scaling,interpreter,candidate,2,worker-allocation-fixed-work,2,104.2407,77.8507,19.8966851,10,1,1042.407
windows,worker-allocation-scaling,interpreter,candidate,2,worker-allocation-fixed-work,4,89.0964667,47.4472,32.3588361,12,1,1069.1576
windows,worker-allocation-scaling,interpreter,candidate,3,worker-allocation-direct,20000,111.6457556,56.087,33.3164105,9,1,1004.8118
windows,worker-allocation-scaling,interpreter,candidate,3,worker-allocation-fixed-work,1,104.71091,62.7293,43.5390391,10,1,1047.1091
windows,worker-allocation-scaling,interpreter,candidate,3,worker-allocation-fixed-work,2,113.7523556,78.7809,32.6207628,9,1,1023.7712
windows,worker-allocation-scaling,interpreter,candidate,3,worker-allocation-fixed-work,4,91.1892727,63.4562,22.7597604,11,1,1003.082
windows,worker-allocation-scaling,interpreter,candidate,4,worker-allocation-direct,20000,129.9711375,107.492,26.5020698,8,1,1039.7691
windows,worker-allocation-scaling,interpreter,candidate,4,worker-allocation-fixed-work,1,147.982975,111.3575,36.9601164,8,1,1183.8638
windows,worker-allocation-scaling,interpreter,candidate,4,worker-allocation-fixed-work,2,101.5314,46.9343,31.6516183,10,1,1015.314
windows,worker-allocation-scaling,interpreter,candidate,4,worker-allocation-fixed-work,4,92.9808417,47.5449,33.2666382,12,1,1115.7701
